,Player,Pos,Date,TM,OPP,H/A,W/L,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kemba Walker,G,2018-11-17,CHO,PHI,H,L,1,45,21,34,0.618,15,20,0.75,6,14,0.429,12,12,1.0,0,7,7,4,4,0,9,2,60
1,James Harden,G,2018-11-26,HOU,WAS,A,L,1,47,17,32,0.531,10,17,0.588,7,15,0.467,13,15,0.867,1,7,8,13,3,0,11,4,54
2,Klay Thompson,G-F,2018-10-29,GSW,CHI,A,W,1,27,18,29,0.621,4,5,0.8,14,24,0.583,2,2,1.0,0,4,4,0,2,0,2,2,52
3,Stephen Curry,G,2018-10-24,GSW,WAS,H,W,1,32,15,24,0.625,4,8,0.5,11,16,0.688,10,10,1.0,0,4,4,3,0,1,2,1,51
4,Kevin Durant,F-G,2018-11-29,GSW,TOR,A,L,1,43,18,31,0.581,14,24,0.583,4,7,0.571,11,12,0.917,3,8,11,6,0,0,1,4,51
5,LeBron James,F-G,2018-11-18,LAL,MIA,A,W,1,38,19,31,0.613,13,23,0.565,6,8,0.75,7,10,0.7,1,7,8,3,2,1,2,3,51
6,Blake Griffin,F,2018-10-23,DET,PHI,H,W,1,44,20,35,0.571,15,25,0.6,5,10,0.5,5,11,0.455,3,11,14,6,0,1,1,4,50
7,James Harden,G,2018-12-13,HOU,LAL,H,W,1,35,14,26,0.538,10,14,0.714,4,12,0.333,18,19,0.947,2,8,10,11,2,0,6,4,50
8,Derrick Rose,G,2018-10-31,MIN,UTA,H,W,1,41,19,31,0.613,15,24,0.625,4,7,0.571,8,11,0.727,0,4,4,6,1,1,6,4,50
9,Kevin Durant,F-G,2018-11-26,GSW,ORL,H,W,1,40,16,33,0.485,12,23,0.522,4,10,0.4,13,13,1.0,0,6,6,9,2,2,4,4,49
10,Jamal Murray,G,2018-11-05,DEN,BOS,H,W,1,38,19,30,0.633,14,19,0.737,5,11,0.455,5,5,1.0,1,4,5,4,0,0,5,1,48
11,Paul George,F,2018-12-05,OKC,BRK,A,W,1,37,15,27,0.556,9,14,0.643,6,13,0.462,11,14,0.786,3,12,15,4,0,1,2,2,47
12,James Harden,G,2018-12-17,HOU,UTA,H,W,1,41,14,31,0.452,10,19,0.526,4,12,0.333,15,16,0.938,0,6,6,5,5,0,5,4,47
13,Giannis Antetokounmpo,F-G,2018-12-14,MIL,CLE,A,W,1,38,14,19,0.737,14,19,0.737,0,0,,16,21,0.762,4,10,14,8,0,2,4,5,44
14,Anthony Davis,F-C,2018-12-12,NOP,OKC,H,W,1,40,16,32,0.5,15,29,0.517,1,3,0.333,11,11,1.0,6,12,18,2,2,1,3,5,44
15,Kevin Durant,F-G,2018-11-24,GSW,SAC,H,W,1,40,13,26,0.5,11,18,0.611,2,8,0.25,16,17,0.941,1,12,13,7,0,2,7,3,44
16,LeBron James,F-G,2018-11-14,LAL,POR,H,W,1,36,13,19,0.684,8,13,0.615,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,44
17,Anthony Davis,F-C,2018-11-16,NOP,NYK,H,W,1,40,16,25,0.64,15,21,0.714,1,4,0.25,10,15,0.667,4,13,17,5,1,1,2,2,43
18,Paul George,F,2018-12-19,OKC,SAC,A,W,1,38,15,27,0.556,11,19,0.579,4,8,0.5,9,10,0.9,2,10,12,7,0,0,5,3,43
19,James Harden,G,2018-11-21,HOU,DET,H,W,1,36,10,20,0.5,6,11,0.545,4,9,0.444,19,19,1.0,1,6,7,9,4,0,6,3,43
20,Kyrie Irving,G,2018-11-16,BOS,TOR,H,W,1,39,18,26,0.692,15,20,0.75,3,6,0.5,4,6,0.667,0,2,2,11,3,1,3,3,43
21,Kemba Walker,G,2018-11-19,CHO,BOS,H,W,1,39,14,25,0.56,7,12,0.583,7,13,0.538,8,9,0.889,1,3,4,5,1,0,4,3,43
22,Stephen Curry,G,2018-12-05,GSW,CLE,A,W,1,34,11,20,0.55,2,6,0.333,9,14,0.643,11,12,0.917,0,9,9,7,1,0,2,1,42
23,Joel Embiid,C,2018-11-09,PHI,CHO,H,W,1,39,11,18,0.611,10,16,0.625,1,2,0.5,19,22,0.864,2,16,18,4,0,4,3,4,42
24,LeBron James,F-G,2018-12-05,LAL,SAS,H,W,1,40,15,24,0.625,12,17,0.706,3,7,0.429,9,13,0.692,0,5,5,6,2,0,2,1,42
25,Damian Lillard,G,2018-10-27,POR,MIA,A,L,1,37,15,28,0.536,10,17,0.588,5,11,0.455,7,7,1.0,2,5,7,6,0,0,1,3,42
26,Anthony Davis,F-C,2018-12-10,NOP,BOS,A,L,1,38,17,34,0.5,17,32,0.531,0,2,0.0,7,9,0.778,3,4,7,2,4,0,0,1,41
27,Anthony Davis,F-C,2018-11-30,NOP,MIA,A,L,1,41,15,23,0.652,13,18,0.722,2,5,0.4,9,10,0.9,1,8,9,2,1,4,2,2,41
28,Kevin Durant,F-G,2018-10-26,GSW,NYK,A,W,1,36,17,24,0.708,12,15,0.8,5,9,0.556,2,2,1.0,1,8,9,5,0,0,3,0,41
29,Joel Embiid,C,2018-11-01,PHI,LAC,H,W,1,33,16,32,0.5,13,24,0.542,3,8,0.375,6,9,0.667,4,9,13,1,0,4,2,5,41
30,Zach LaVine,G,2018-11-05,CHI,NYK,A,W,1,49,13,25,0.52,9,15,0.6,4,10,0.4,11,14,0.786,0,4,4,4,3,2,8,1,41
31,Damian Lillard,G,2018-11-28,POR,ORL,H,W,1,37,13,22,0.591,3,7,0.429,10,15,0.667,5,7,0.714,0,8,8,4,2,1,3,2,41
32,Damian Lillard,G,2018-10-25,POR,ORL,A,W,1,36,13,23,0.565,8,13,0.615,5,10,0.5,10,12,0.833,2,5,7,6,1,0,1,0,41
33,Kemba Walker,G,2018-10-17,CHO,MIL,H,L,1,39,15,29,0.517,8,16,0.5,7,13,0.538,4,5,0.8,1,1,2,4,2,0,3,0,41
34,Anthony Davis,F-C,2018-11-17,NOP,DEN,H,W,1,38,10,20,0.5,10,19,0.526,0,1,0.0,20,21,0.952,4,4,8,8,0,1,0,4,40
35,Joel Embiid,C,2018-12-14,PHI,IND,H,L,1,34,13,22,0.591,12,16,0.75,1,6,0.167,13,16,0.813,8,13,21,3,1,1,6,4,40
36,James Harden,G,2018-11-11,HOU,IND,H,W,1,38,9,20,0.45,1,2,0.5,8,18,0.444,14,15,0.933,0,7,7,9,1,1,9,5,40
37,James Harden,G,2018-11-24,HOU,CLE,A,L,1,44,14,30,0.467,9,18,0.5,5,12,0.417,7,12,0.583,1,3,4,13,1,0,9,3,40
38,Damian Lillard,G,2018-11-18,POR,WAS,A,W,1,38,12,29,0.414,9,19,0.474,3,10,0.3,13,15,0.867,2,4,6,5,1,0,1,2,40
39,CJ McCollum,G,2018-11-06,POR,MIL,H,W,1,36,17,26,0.654,12,16,0.75,5,10,0.5,1,2,0.5,2,2,4,6,4,0,2,4,40
40,CJ McCollum,G,2018-12-12,POR,MEM,A,L,1,39,16,27,0.593,14,22,0.636,2,5,0.4,6,7,0.857,0,5,5,2,1,1,4,5,40
41,John Wall,G,2018-12-16,WAS,LAL,H,W,1,42,16,27,0.593,12,19,0.632,4,8,0.5,4,6,0.667,1,5,6,14,3,2,5,3,40
42,Spencer Dinwiddie,G,2018-12-12,BRK,PHI,A,W,0,30,11,18,0.611,7,12,0.583,4,6,0.667,13,14,0.929,0,2,2,5,1,0,4,1,39
43,Joel Embiid,C,2018-11-03,PHI,DET,H,W,1,34,10,18,0.556,9,15,0.6,1,3,0.333,18,23,0.783,0,17,17,1,0,2,4,5,39
44,Tobias Harris,F,2018-12-17,LAC,POR,H,L,1,35,15,22,0.682,12,16,0.75,3,6,0.5,6,8,0.75,1,10,11,1,1,0,1,2,39
45,Kyrie Irving,G,2018-11-08,BOS,PHO,A,W,1,43,13,28,0.464,7,15,0.467,6,13,0.462,7,7,1.0,2,5,7,6,3,1,3,5,39
46,Damian Lillard,G,2018-12-17,POR,LAC,A,W,1,36,11,20,0.55,5,13,0.385,6,7,0.857,11,13,0.846,0,3,3,6,2,0,2,4,39
47,Karl-Anthony Towns,C-F,2018-11-09,MIN,SAC,A,L,1,40,15,27,0.556,13,22,0.591,2,5,0.4,7,7,1.0,9,10,19,1,0,1,4,4,39
48,Kemba Walker,G,2018-10-20,CHO,MIA,A,W,1,40,14,31,0.452,7,16,0.438,7,15,0.467,4,7,0.571,0,5,5,7,0,0,2,4,39
49,Devin Booker,G,2018-11-08,PHO,BOS,H,L,1,43,15,30,0.5,11,17,0.647,4,13,0.308,4,5,0.8,0,3,3,9,3,0,6,3,38
50,Devin Booker,G,2018-12-17,PHO,NYK,A,W,1,37,11,23,0.478,9,16,0.563,2,7,0.286,14,15,0.933,0,7,7,2,2,0,1,5,38
51,Jimmy Butler,F-G,2018-12-07,PHI,DET,A,W,1,39,13,27,0.481,12,21,0.571,1,6,0.167,11,12,0.917,5,1,6,6,3,1,0,1,38
52,Jimmy Butler,F-G,2018-12-05,PHI,TOR,A,L,1,38,15,27,0.556,11,20,0.55,4,7,0.571,4,4,1.0,3,7,10,1,1,1,2,2,38
53,Stephen Curry,G,2018-12-10,GSW,MIN,H,W,1,36,12,23,0.522,5,9,0.556,7,14,0.5,7,7,1.0,1,6,7,6,2,1,2,1,38
54,Kevin Durant,F-G,2018-10-19,GSW,UTA,A,W,1,40,14,25,0.56,13,24,0.542,1,1,1.0,9,9,1.0,0,9,9,7,1,1,2,3,38
