,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
244,0.0,191.5,172.0,0.0,249.25,178.25,170.0,38.25,218.0,178.0,210.0,235.75,250.75,0.0,226.5,239.75,251.25,227.0,144.75,288.75,201.25,211.5,186.75,0.0,143.75,224.0,221.5,179.25,270.5,246.25,214.0,104.0,232.5,177.5,184.0,184.25,191.75,55.75,144.75,259.75,0.0
245,0.0,256.25,173.0,0.0,215.25,156.0,267.75,38.25,252.5,173.75,194.5,241.25,261.5,0.0,229.75,249.25,212.5,239.25,158.75,276.0,250.75,277.5,187.0,0.0,196.5,224.0,231.0,227.75,269.5,196.25,275.5,0.0,217.25,190.5,162.75,143.0,134.25,55.75,233.25,241.5,0.0
246,0.0,267.5,157.25,0.0,240.0,176.5,260.0,38.25,219.25,186.0,180.5,238.25,232.25,0.0,188.25,259.0,213.5,180.5,125.25,296.0,242.0,223.0,229.75,0.0,139.25,206.75,216.75,224.5,250.0,269.5,268.25,0.0,192.0,183.75,180.0,148.5,179.0,55.75,206.5,218.25,0.0
247,0.0,250.0,177.0,0.0,199.75,183.25,226.5,38.25,193.25,177.0,145.5,210.75,228.0,0.0,216.0,222.5,178.5,207.0,156.25,250.25,243.5,216.5,240.0,0.0,187.5,241.25,177.75,198.75,293.75,241.75,269.0,0.0,240.5,171.5,140.5,148.75,181.5,55.75,162.0,250.5,0.0
248,0.0,216.75,170.25,0.0,245.5,164.5,247.75,38.25,159.5,149.75,186.0,248.0,248.75,0.0,219.25,254.0,204.0,199.5,130.0,237.75,258.75,244.25,199.0,0.0,195.5,233.0,210.5,203.25,237.75,183.25,265.0,0.0,228.75,173.75,190.0,153.75,158.25,55.75,167.5,242.25,0.0
249,0.0,241.75,198.5,0.0,228.5,183.0,205.5,38.25,245.25,194.0,226.0,179.5,260.25,0.0,199.25,246.0,214.5,218.75,127.0,315.5,252.5,183.0,238.25,0.0,167.75,247.25,207.25,207.25,282.0,250.0,230.5,0.0,256.25,176.0,191.25,156.5,190.75,55.75,182.0,205.25,0.0
250,0.0,245.5,195.75,0.0,199.5,154.0,143.25,38.25,187.0,166.25,169.25,230.5,248.5,0.0,213.25,221.75,214.75,256.5,152.25,312.0,190.25,222.5,207.5,0.0,183.0,227.25,192.75,219.5,242.0,216.5,219.5,0.0,198.0,159.75,192.75,129.5,170.75,55.75,215.0,215.25,0.0
251,0.0,217.75,153.0,0.0,229.75,188.0,221.5,38.25,233.25,174.25,175.0,233.75,242.0,0.0,211.0,245.5,250.0,190.25,127.25,270.5,187.0,210.25,213.5,0.0,219.25,235.75,234.75,209.0,283.5,193.75,238.25,0.0,243.75,186.0,205.5,166.25,170.25,55.75,212.25,237.5,0.0
252,0.0,226.5,198.0,0.0,243.0,188.25,159.0,38.25,216.25,198.0,218.0,241.75,191.25,0.0,245.0,189.75,197.75,207.25,112.75,287.75,176.0,228.5,203.5,0.0,170.25,228.25,214.25,221.5,280.25,200.75,224.75,0.0,211.75,187.5,211.5,166.75,176.5,55.75,206.75,247.25,0.0
253,0.0,240.0,168.5,0.0,207.75,147.5,168.25,38.25,210.25,151.0,251.25,233.5,205.25,0.0,210.0,254.5,220.25,182.5,137.0,256.25,201.75,200.25,255.0,0.0,182.25,189.25,202.25,229.75,221.25,199.75,209.5,0.0,199.5,174.5,181.5,155.25,143.25,55.75,205.5,207.75,0.0
