,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv
152,260.75,0.0,331.0,0.0
153,279.5,0.0,319.0,324.75
154,277.25,209.25,299.0,0.0
155,255.0,0.0,279.75,0.0
156,0.0,220.0,288.25,281.0
157,270.75,0.0,314.75,0.0
158,283.25,0.0,310.75,0.0
159,248.25,250.0,309.25,0.0
160,252.5,262.75,326.5,0.0
161,279.75,0.0,298.75,304.0
162,0.0,263.25,363.25,264.0
163,0.0,273.25,272.5,0.0
164,250.75,0.0,255.5,0.0
165,0.0,257.0,304.75,0.0
166,0.0,0.0,310.75,0.0
167,0.0,0.0,293.0,0.0
168,0.0,228.5,316.0,299.25
169,285.5,0.0,324.0,0.0
170,287.25,0.0,317.5,275.5
171,217.75,0.0,0.0,327.0
172,285.5,0.0,248.25,0.0
173,255.25,0.0,307.5,0.0
174,276.25,280.25,288.5,0.0
175,0.0,0.0,283.5,0.0
176,272.25,247.75,0.0,0.0
177,0.0,203.75,266.0,0.0
178,298.25,210.75,286.0,0.0
179,0.0,0.0,282.0,278.0
180,261.5,0.0,295.5,314.25
181,291.5,0.0,0.0,314.75
182,0.0,223.25,322.75,261.75
183,236.5,242.5,274.5,0.0
184,0.0,265.5,305.25,0.0
185,241.0,217.75,276.75,279.0
186,264.5,201.0,314.25,0.0
187,248.25,0.0,270.5,293.5
188,0.0,233.0,266.75,0.0
189,0.0,233.75,272.0,297.75
190,0.0,0.0,249.5,334.5
191,239.0,253.5,275.0,0.0
192,0.0,0.0,0.0,0.0
193,242.75,222.5,293.75,0.0
194,0.0,0.0,262.25,0.0
195,0.0,0.0,282.25,0.0
196,0.0,0.0,274.5,0.0
197,0.0,0.0,308.75,0.0
198,278.0,214.25,306.75,0.0
199,295.0,235.0,300.25,0.0
200,254.0,216.5,272.5,0.0
201,266.75,234.0,282.5,0.0
202,0.0,0.0,305.5,0.0
203,242.25,266.0,316.5,276.5
204,0.0,258.0,303.25,0.0
205,0.0,0.0,320.25,281.0
206,268.25,260.25,293.0,0.0
207,299.0,0.0,325.5,248.5
208,265.75,277.25,316.25,0.0
209,249.25,0.0,0.0,0.0
210,262.75,206.0,324.5,288.75
211,0.0,0.0,246.5,0.0
212,0.0,235.25,0.0,0.0
213,306.5,0.0,291.25,0.0
214,252.5,225.75,290.25,0.0
215,0.0,0.0,326.25,287.5
216,278.0,233.25,321.0,297.75
217,278.25,0.0,299.25,0.0
218,274.25,245.0,285.0,0.0
219,0.0,0.0,0.0,0.0
220,289.0,230.75,286.75,0.0
221,282.0,0.0,292.25,0.0
222,249.5,227.0,297.75,0.0
223,0.0,253.0,241.75,0.0
224,0.0,242.25,270.5,266.5
225,290.0,234.0,256.75,0.0
226,278.75,238.5,300.75,0.0
227,283.25,239.25,328.0,290.0
228,0.0,247.5,300.25,0.0
229,0.0,279.75,304.75,285.25
230,0.0,227.25,0.0,0.0
231,0.0,0.0,314.5,0.0
232,287.75,238.25,245.5,0.0
233,0.0,245.5,279.0,264.0
234,0.0,218.25,304.0,240.5
235,305.75,230.5,234.25,0.0
236,275.25,229.75,0.0,292.0
237,279.0,271.75,258.5,0.0
238,265.5,219.25,264.5,0.0
239,265.75,0.0,311.25,309.25
240,0.0,207.75,336.25,306.75
241,287.5,0.0,269.75,0.0
242,0.0,0.0,219.0,0.0
243,285.75,0.0,243.0,0.0
244,285.5,240.5,296.25,0.0
245,0.0,232.75,0.0,0.0
246,0.0,0.0,314.5,292.5
247,237.0,0.0,271.25,301.25
248,280.5,239.75,300.75,0.0
249,0.0,0.0,278.5,0.0
