,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv
0,253.75,239.0,294.0,299.5,219.75,270.0,241.0
1,252.5,234.25,278.5,254.0,229.75,269.75,221.0
2,237.25,237.5,268.5,297.0,215.0,282.75,230.0
3,256.75,243.0,289.5,336.75,217.25,312.75,254.0
4,250.5,235.5,296.25,264.0,214.75,329.75,234.0
5,263.0,256.75,271.75,277.5,226.5,319.75,229.5
6,246.5,266.5,334.0,271.25,256.5,274.75,221.75
7,245.25,256.5,259.25,307.5,237.0,315.0,229.5
8,243.75,246.25,273.0,278.25,236.0,313.25,237.0
9,238.25,257.75,258.25,298.0,253.0,255.0,245.25
10,242.25,284.5,337.75,250.0,237.5,346.25,244.0
11,244.5,255.75,293.5,275.25,221.5,291.5,211.75
12,257.25,245.0,252.75,273.0,184.5,307.75,251.25
13,226.25,239.5,318.0,281.25,227.5,320.0,236.5
14,237.75,254.5,302.75,286.25,178.0,305.75,215.0
15,240.0,237.25,323.25,239.5,177.0,323.25,234.75
16,250.75,249.0,307.25,281.5,210.75,289.0,238.5
17,236.5,269.0,258.5,260.5,209.0,307.0,242.5
18,249.75,272.0,258.5,251.0,205.0,284.75,238.75
19,253.25,245.5,331.25,278.5,230.75,281.75,264.5
20,210.0,237.5,268.5,249.25,220.75,268.5,219.5
21,268.75,232.75,313.75,316.0,211.75,271.5,260.0
22,241.0,248.75,307.0,332.0,231.0,292.25,256.25
23,234.25,252.25,273.5,293.5,212.0,299.75,232.75
24,272.75,234.0,276.0,265.0,211.5,297.5,227.0
25,255.5,238.25,338.0,280.75,245.75,286.5,236.0
26,280.75,236.75,268.75,239.0,212.5,251.75,202.0
27,236.75,223.5,258.5,306.5,268.5,279.25,262.75
28,223.75,247.0,288.5,257.0,249.5,338.0,244.75
29,235.75,233.5,274.75,318.25,251.0,304.75,227.5
30,237.5,260.5,309.25,236.25,200.0,264.75,254.0
31,257.25,248.5,256.75,301.5,237.0,335.0,278.0
32,229.25,272.25,333.5,296.25,205.0,275.25,244.25
33,246.25,250.25,282.25,254.25,225.75,287.0,259.25
34,268.25,252.75,266.25,336.25,209.25,295.75,213.5
35,240.5,241.25,278.25,310.0,224.0,309.75,237.5
36,222.25,257.75,247.0,253.25,218.5,296.5,249.5
37,262.25,267.75,260.5,251.0,227.75,283.0,228.5
38,250.75,266.5,292.25,282.75,231.0,291.75,247.25
39,238.5,256.0,285.5,333.25,221.0,318.25,253.25
40,289.0,252.75,247.25,305.75,185.25,279.75,236.25
41,261.5,284.25,294.0,285.25,234.5,301.75,235.75
42,246.75,233.75,304.75,293.25,188.5,324.75,244.0
43,254.75,263.25,329.25,261.0,198.75,284.75,236.0
44,224.25,226.25,250.25,280.25,184.25,263.25,211.25
45,249.75,254.75,271.75,314.75,202.0,292.0,230.75
46,222.75,238.5,251.0,270.25,222.25,295.5,232.25
47,244.75,242.75,293.5,252.0,216.0,288.5,243.5
48,251.0,228.5,315.5,291.5,194.5,333.0,203.0
49,256.0,237.25,289.0,233.0,231.5,284.5,270.5
50,224.75,244.5,256.5,231.0,205.5,305.75,245.0
51,259.75,229.5,312.0,278.25,268.75,337.25,232.75
52,250.25,262.75,252.75,248.0,231.5,264.75,240.0
53,280.0,252.5,313.5,316.5,249.75,254.75,215.75
54,234.25,231.75,273.75,253.25,205.5,281.0,235.25
55,256.0,258.0,285.75,281.75,249.25,283.75,222.0
56,239.0,229.25,311.5,228.0,232.0,305.25,243.75
57,267.25,235.5,313.25,303.5,240.75,300.0,279.25
58,221.25,231.75,305.5,219.5,202.75,315.0,260.25
59,219.25,232.5,250.25,284.75,208.5,302.5,228.5
60,217.75,226.5,267.75,323.25,237.25,325.0,210.75
61,242.0,249.25,314.75,205.75,251.5,279.25,213.75
62,247.5,247.0,232.75,240.75,246.5,310.5,246.75
63,253.0,256.0,296.75,254.25,210.5,310.0,225.25
64,265.0,244.5,268.5,242.0,243.25,256.5,211.25
65,267.25,235.5,308.75,291.0,209.5,295.0,234.75
66,239.5,251.0,297.0,300.5,218.25,285.5,269.25
67,253.0,264.75,316.25,285.0,213.0,240.5,220.5
68,226.5,256.0,326.25,274.75,226.5,318.0,267.75
69,256.5,263.25,223.0,283.75,238.5,267.0,240.0
70,293.75,261.0,329.75,283.5,217.25,316.25,235.75
71,275.25,251.75,251.75,251.25,209.5,262.75,225.5
72,275.5,259.0,297.0,269.25,243.25,274.0,219.25
73,254.25,229.0,296.0,294.5,222.25,277.0,206.25
74,247.0,261.25,295.25,263.25,248.0,220.75,212.5
75,227.25,249.0,322.0,275.75,249.5,249.25,230.0
76,251.75,246.25,342.0,235.75,211.75,286.25,232.25
77,267.0,253.75,290.5,290.5,210.75,295.0,219.75
78,250.75,230.0,318.0,285.0,180.5,295.25,273.25
79,275.25,232.25,295.75,304.25,202.0,277.25,226.0
80,230.75,259.25,311.0,311.75,229.0,312.75,234.75
81,268.5,241.0,282.0,278.0,202.25,238.25,222.5
82,252.75,254.0,309.0,284.25,218.0,312.0,218.0
83,264.25,247.25,279.75,287.5,174.75,293.0,225.75
84,228.25,238.75,206.75,284.25,214.25,330.0,227.5
85,235.75,227.25,280.5,274.75,214.75,283.0,224.25
86,257.25,238.25,300.5,328.5,178.75,313.25,244.25
87,254.0,248.75,259.75,252.0,214.5,295.25,234.25
88,253.0,261.5,310.25,287.75,234.5,269.5,230.0
89,234.0,286.25,295.0,239.75,240.25,309.0,251.75
90,259.5,244.0,302.75,276.25,194.25,299.0,229.25
91,269.25,238.5,279.0,214.5,218.0,258.5,267.25
92,243.25,248.75,264.75,277.75,216.5,255.5,242.25
93,232.75,277.25,279.5,258.5,167.25,285.75,240.0
94,258.75,240.75,309.75,202.5,260.5,337.0,196.5
95,225.0,253.75,299.25,291.0,217.75,310.0,235.25
96,250.0,235.5,256.0,301.5,203.5,315.75,232.5
97,258.0,228.0,313.75,304.0,201.0,267.75,250.5
98,272.75,251.5,281.25,278.75,255.75,296.75,267.5
99,250.0,235.5,285.25,285.75,244.0,325.5,262.5
