,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
51,327.25,222.25,272.75,257.75,278.0,203.25,238.75,228.75,297.75,262.25,281.0,230.0,169.75,234.0
52,327.75,281.25,266.75,250.0,244.25,307.0,242.0,212.25,286.0,294.0,268.0,222.75,230.5,239.25
53,284.5,238.5,259.0,271.0,273.5,295.25,276.5,225.0,256.75,235.25,330.5,229.75,229.75,276.25
54,301.75,234.5,273.5,286.5,273.75,282.25,284.75,240.0,270.0,285.0,276.5,234.75,267.75,235.75
55,295.75,245.75,255.75,213.75,269.75,281.25,304.0,247.5,262.0,277.0,267.5,261.0,236.25,277.75
56,327.0,271.75,285.75,274.0,267.25,279.25,224.5,207.0,277.75,224.75,282.5,220.75,179.5,263.75
57,293.0,269.0,288.5,261.0,258.5,265.25,285.25,258.5,289.75,240.5,280.0,239.25,215.0,273.0
58,269.0,236.75,229.0,257.5,251.25,254.25,297.5,251.25,296.0,230.75,234.0,210.75,212.0,245.0
59,263.5,248.25,264.75,285.25,245.25,288.25,287.5,222.25,238.5,248.5,273.0,217.25,205.5,193.5
60,320.75,237.75,252.25,244.25,254.0,260.5,253.0,229.0,239.75,263.75,269.25,221.25,210.75,202.0
61,285.75,302.0,254.0,256.0,257.75,299.5,342.25,231.5,260.25,252.5,272.0,223.0,228.0,219.25
62,297.0,243.75,273.25,204.0,237.75,263.75,260.5,242.0,292.5,254.25,274.0,257.25,193.75,246.25
63,290.0,267.5,244.25,229.25,312.25,255.0,342.5,223.0,257.75,235.75,239.25,239.25,247.25,229.25
64,241.5,282.5,252.25,234.0,260.75,319.75,288.25,271.0,277.5,249.0,295.0,244.25,190.75,231.5
65,310.75,272.25,243.25,263.25,246.5,319.75,232.25,209.25,247.5,250.5,270.5,221.5,213.75,213.75
66,251.5,239.5,279.75,243.25,256.25,340.75,305.5,211.75,262.75,274.25,306.25,232.5,216.25,214.0
67,340.5,278.25,291.75,255.75,265.0,300.25,198.75,249.5,221.25,290.0,246.25,200.75,271.25,253.0
68,251.25,234.75,301.0,226.5,226.5,280.75,229.5,262.5,268.75,276.75,249.5,214.0,276.5,202.0
69,299.5,245.25,273.25,219.75,292.0,307.0,261.25,217.75,284.75,250.75,249.75,248.25,235.75,255.25
70,260.0,232.25,268.5,282.25,271.5,307.0,296.0,251.5,289.75,267.75,251.0,236.5,195.75,285.0
71,269.25,265.25,267.0,253.5,234.75,233.0,305.25,228.25,326.0,252.0,240.75,224.5,238.0,248.75
72,268.25,260.25,275.0,254.75,263.5,263.25,277.75,211.75,256.25,257.5,298.0,221.75,238.25,221.5
73,332.5,254.75,258.25,275.75,250.25,277.25,303.0,253.75,250.75,251.5,222.0,250.75,226.0,256.25
74,287.25,225.25,282.5,231.0,271.25,284.75,251.75,256.75,272.0,249.75,283.0,185.5,221.0,257.75
75,266.5,248.0,224.25,281.25,302.75,290.75,281.75,177.25,244.25,269.25,275.25,246.5,247.75,265.0
76,266.5,255.25,285.0,237.0,259.75,267.25,331.5,206.75,262.25,268.25,258.0,269.25,202.5,288.5
77,276.5,226.0,253.75,268.75,250.25,286.25,251.0,278.5,279.0,267.25,232.25,267.25,283.0,247.5
78,269.5,301.5,294.25,238.75,246.75,280.75,188.0,196.75,220.5,275.5,282.75,239.5,203.0,217.25
79,316.75,261.25,265.5,293.25,277.75,215.75,200.75,259.0,306.5,241.75,254.0,234.5,213.25,256.25
80,274.75,273.25,254.75,245.75,257.5,307.75,238.75,236.75,260.0,285.0,276.75,215.0,201.5,240.25
81,287.5,272.25,278.25,263.0,244.75,304.5,229.5,212.5,287.0,266.5,243.75,267.25,239.25,247.25
82,295.0,273.25,271.25,266.25,289.25,343.75,210.0,251.0,273.0,246.25,227.25,228.0,211.75,248.75
83,319.5,246.25,246.5,239.75,234.75,288.75,279.5,224.75,258.75,276.5,217.75,241.25,207.0,226.5
84,277.5,210.25,279.25,246.0,253.75,248.25,262.5,243.0,318.5,264.0,238.0,238.0,199.75,255.0
85,295.5,260.5,287.5,228.0,281.75,312.75,318.0,277.5,255.0,242.25,259.0,229.5,162.75,274.25
86,265.75,240.25,276.0,271.0,255.75,275.0,218.25,185.25,256.0,216.0,269.25,241.5,226.5,251.5
87,333.0,230.25,243.25,262.0,269.5,313.75,287.5,242.25,273.25,252.25,244.25,258.25,191.25,230.0
88,246.75,235.75,292.5,265.0,292.25,324.25,311.25,225.0,270.25,289.0,288.75,226.25,264.0,265.5
89,280.25,311.0,294.25,246.5,265.25,261.25,286.0,213.0,268.25,246.75,281.75,189.5,248.0,261.5
90,285.25,251.25,281.25,214.0,270.25,279.25,312.75,246.75,200.75,272.0,279.0,222.25,246.25,234.75
91,292.75,244.0,254.5,207.5,228.0,288.5,273.5,264.5,256.25,275.75,232.75,239.0,193.5,182.25
92,323.25,294.0,271.0,242.75,220.75,248.25,208.5,223.5,236.75,295.5,223.0,203.75,293.25,248.75
93,331.5,260.0,282.75,230.0,255.5,263.25,274.25,210.0,216.25,246.5,327.25,200.25,224.5,260.25
94,306.25,220.5,247.75,264.75,266.5,311.75,242.25,236.5,272.25,245.25,279.25,221.0,243.25,226.0
95,312.25,243.0,296.75,247.75,246.5,263.25,216.0,236.75,277.0,278.5,261.75,250.25,211.75,246.5
96,299.5,218.5,246.25,243.25,252.5,275.25,264.5,255.5,254.5,249.25,316.5,256.5,282.75,209.25
97,280.25,246.0,276.75,293.5,258.0,268.5,288.5,225.25,244.5,301.25,272.75,233.0,188.0,202.5
98,296.25,222.25,254.75,256.5,272.5,233.5,327.0,272.75,261.25,240.75,240.25,258.25,263.5,240.75
99,325.25,209.5,302.0,216.75,276.5,242.5,272.25,206.75,227.75,239.5,289.0,243.0,179.25,250.5
100,270.0,218.5,275.25,318.0,256.25,309.75,253.0,245.5,217.5,225.25,257.0,225.75,250.5,248.25
101,290.0,264.75,257.25,299.5,257.75,237.75,256.5,217.75,219.5,280.0,225.75,265.5,158.0,187.25
102,302.0,256.25,266.75,258.25,268.25,267.0,320.0,212.5,213.5,258.75,294.25,236.0,254.75,205.5
103,258.25,283.25,285.5,231.0,243.5,253.25,234.75,207.25,254.25,261.25,276.75,187.5,199.75,237.25
104,265.25,231.75,256.75,244.5,251.25,301.25,260.0,228.25,268.0,241.0,271.75,244.75,199.75,212.75
105,329.5,216.0,265.0,254.75,305.5,264.5,236.25,206.75,223.75,265.5,285.0,202.75,279.5,218.25
106,285.0,256.5,265.25,275.25,273.5,275.25,302.5,238.25,277.25,275.5,188.0,243.5,199.75,211.0
107,257.0,276.5,269.75,253.0,268.5,271.75,249.75,259.5,250.75,245.0,298.0,236.0,182.75,276.0
108,324.25,237.25,254.5,270.25,250.75,277.0,281.5,246.0,260.0,256.75,239.25,232.25,174.25,214.75
109,272.0,242.0,248.75,288.0,291.0,268.25,311.0,217.5,285.0,251.5,272.5,239.75,270.0,303.75
110,318.0,258.0,256.5,262.75,250.75,247.25,241.25,236.0,258.75,276.75,286.5,217.0,175.0,238.5
