,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
147,206.75,253.0,184.25,0.0,249.25,197.25,200.75,38.25,194.25,211.0,185.25,224.75,269.25,216.0,187.75,264.25,239.5,220.75,173.0,253.5,259.25,237.5,256.25,0.0,207.75,221.75,187.25,238.25,254.5,236.75,210.75,175.25,225.75,185.0,206.5,191.25,240.25,55.75,189.0,250.0,50.5
148,193.5,245.25,230.75,0.0,230.75,175.25,191.25,38.25,239.75,223.0,230.0,228.25,223.25,184.5,219.25,209.0,225.25,249.75,162.75,263.25,245.25,242.25,203.75,0.0,171.25,235.75,206.0,240.0,242.5,249.0,292.0,163.75,228.75,168.75,167.75,131.75,181.0,55.75,170.0,294.25,50.5
149,217.75,257.75,146.0,0.0,190.0,175.0,250.0,38.25,251.0,191.75,162.75,219.5,253.75,187.0,218.0,249.25,232.75,248.5,166.5,312.5,253.75,235.5,182.25,0.0,139.75,237.25,232.5,240.0,236.25,252.75,243.5,204.0,283.75,184.25,215.75,167.5,219.75,55.75,196.25,241.75,50.5
150,196.5,220.25,197.75,0.0,200.25,173.0,206.5,38.25,214.0,180.25,210.75,215.25,219.25,152.75,204.25,230.25,237.25,213.75,189.75,276.0,254.0,212.25,189.5,0.0,155.0,266.75,201.75,208.75,257.0,252.75,255.25,194.75,249.25,196.25,164.5,185.75,222.0,55.75,174.25,231.75,50.5
151,227.25,256.25,224.25,0.0,226.25,226.0,197.0,38.25,221.0,195.75,170.25,257.5,232.75,169.75,238.75,253.0,240.0,228.25,170.0,305.25,223.0,221.0,192.75,0.0,157.5,235.0,209.0,224.5,270.5,201.75,281.25,151.75,250.25,187.5,211.75,213.25,224.0,55.75,210.5,184.5,50.5
152,188.75,232.5,177.25,0.0,226.75,212.75,179.25,38.25,203.0,204.75,195.5,218.75,214.5,176.75,212.25,283.75,194.0,249.5,146.25,243.75,232.75,224.75,239.25,0.0,164.5,221.25,247.5,301.0,238.75,232.5,238.75,166.0,251.75,212.25,200.5,165.5,213.75,55.75,257.5,241.0,50.5
153,182.0,223.75,192.0,0.0,242.75,187.5,240.75,38.25,242.75,180.75,257.5,152.0,215.0,151.75,251.5,289.25,232.0,231.75,175.5,252.5,224.25,237.25,243.0,0.0,166.0,214.0,226.5,242.5,284.75,256.5,234.0,195.0,252.75,152.0,180.0,180.75,191.0,55.75,179.0,277.75,50.5
154,205.0,240.0,193.5,0.0,222.75,170.0,200.0,38.25,244.75,191.5,174.25,224.5,220.5,193.0,203.25,225.75,201.25,215.5,156.0,272.25,275.0,238.5,248.25,0.0,139.75,228.0,176.75,274.25,251.25,215.75,229.25,191.0,229.25,194.0,191.5,218.0,203.25,55.75,196.25,219.5,50.5
155,193.0,209.0,160.5,0.0,266.0,196.0,132.25,38.25,204.5,190.0,258.0,179.25,182.0,160.25,213.75,273.0,236.25,173.75,161.25,243.0,255.0,212.5,260.25,0.0,195.5,218.0,156.0,273.0,297.75,242.5,230.5,184.75,229.0,175.75,229.75,189.0,231.25,55.75,215.0,263.0,50.5
156,176.75,254.0,193.75,0.0,242.25,196.0,222.0,38.25,198.75,185.0,230.5,240.0,242.5,166.25,185.0,227.75,208.75,206.0,176.75,253.0,243.75,204.75,220.0,0.0,175.5,244.75,219.25,236.75,217.0,215.0,243.5,174.25,250.75,185.25,166.0,185.25,205.25,55.75,154.5,238.0,50.5
157,197.5,180.25,208.5,0.0,258.25,208.0,240.5,38.25,250.0,178.0,237.25,257.75,254.5,156.0,262.75,224.0,219.25,239.25,153.75,281.75,247.5,260.5,238.25,0.0,241.75,231.5,221.0,221.75,269.75,215.75,245.25,187.25,210.0,188.75,209.25,158.5,170.75,55.75,179.0,239.75,50.5
158,203.5,245.25,182.5,0.0,227.5,159.25,182.75,38.25,216.25,219.5,153.0,228.75,236.5,172.25,224.0,247.25,214.5,179.5,156.75,310.5,245.0,271.0,202.25,0.0,173.5,249.5,171.5,187.5,251.5,214.75,240.25,171.5,223.5,216.5,212.5,182.75,190.25,55.75,176.0,253.25,50.5
159,219.25,287.0,176.0,0.0,257.0,208.0,200.25,38.25,192.0,207.25,189.75,242.75,288.75,153.0,208.25,247.25,221.0,239.25,155.5,279.5,219.5,284.75,216.0,0.0,195.25,264.5,226.25,286.0,254.75,254.25,228.25,191.0,218.0,165.75,164.0,163.75,260.75,55.75,229.75,261.75,50.5
160,204.5,257.0,180.5,0.0,191.5,163.0,245.5,38.25,215.25,180.0,237.0,201.75,217.0,158.75,210.25,253.5,212.25,210.75,143.0,276.5,242.75,189.0,234.25,0.0,148.0,225.5,193.5,244.0,258.0,212.25,219.0,152.5,250.5,213.75,211.5,188.25,221.75,55.75,165.5,206.25,50.5
161,224.75,225.75,181.75,0.0,215.25,176.5,214.25,38.25,224.75,184.75,183.75,246.75,227.0,171.75,215.75,270.0,198.75,208.0,144.75,295.25,244.5,278.5,182.0,0.0,193.5,218.25,215.5,212.25,262.5,230.5,252.0,160.75,203.75,180.75,194.25,169.75,199.0,55.75,161.5,231.75,50.5
162,181.5,211.5,205.25,0.0,214.25,182.0,157.0,38.25,186.0,175.0,177.0,217.5,230.75,184.0,227.25,234.25,258.75,244.25,162.0,214.75,285.25,207.0,181.5,0.0,174.0,256.5,185.5,221.5,273.5,232.25,241.75,187.0,227.0,176.25,165.25,116.0,171.0,55.75,151.5,236.25,50.5
163,185.0,233.25,161.25,0.0,176.75,169.75,196.25,38.25,255.25,176.75,205.5,233.0,250.5,171.25,214.75,239.5,181.75,241.25,156.0,273.0,242.25,231.75,217.0,0.0,211.0,211.25,214.0,213.25,253.75,244.75,242.25,179.0,234.0,196.0,198.25,164.5,216.5,55.75,184.25,183.5,50.5
164,229.25,217.0,202.5,0.0,215.0,174.5,203.75,38.25,202.5,197.5,206.0,169.25,234.75,166.0,234.25,276.0,211.0,192.25,162.0,279.0,222.25,215.0,222.75,0.0,151.0,235.5,194.25,234.75,255.5,210.0,254.25,157.0,218.0,187.5,145.75,113.0,192.75,55.75,199.75,235.5,50.5
165,242.25,243.75,177.25,0.0,238.5,184.25,228.0,38.25,234.25,199.75,166.0,213.25,229.25,147.0,213.0,256.75,249.25,226.25,112.0,267.5,244.75,211.75,222.5,0.0,182.25,220.5,187.0,220.5,264.25,259.0,219.75,173.75,219.5,185.5,205.25,202.0,194.25,55.75,200.5,234.25,50.5
166,188.5,218.0,199.25,0.0,210.25,181.0,190.25,38.25,216.0,203.0,237.0,229.0,248.75,168.5,215.5,235.25,241.0,219.25,150.25,225.0,239.5,193.0,236.5,0.0,169.25,225.75,211.75,262.75,248.0,230.0,274.25,192.5,231.25,186.5,223.25,201.75,255.75,55.75,203.75,282.0,50.5
167,201.0,231.25,180.25,0.0,206.0,198.5,158.0,38.25,246.25,206.5,203.5,277.5,238.25,178.5,227.0,206.5,223.5,217.0,147.75,255.25,213.25,255.75,197.0,0.0,192.0,237.0,229.5,244.25,255.0,238.25,272.75,209.0,212.75,168.0,163.5,218.75,207.75,55.75,187.5,239.75,50.5
168,216.5,230.75,205.0,0.0,213.0,164.5,188.25,38.25,210.5,223.75,228.25,200.5,217.25,159.0,231.5,229.25,203.25,195.75,139.0,235.5,212.75,267.5,209.5,0.0,155.25,230.75,197.5,208.0,226.25,241.0,196.0,180.75,230.5,173.25,187.75,161.75,201.5,55.75,151.5,215.5,50.5
169,200.5,246.75,212.25,0.0,203.5,151.75,139.0,38.25,263.5,202.0,196.0,197.25,250.75,184.5,274.75,237.5,214.0,217.5,168.75,260.25,282.75,212.0,187.5,0.0,171.5,248.25,223.0,223.5,300.0,190.25,223.5,130.75,260.5,224.0,179.75,136.75,207.0,55.75,210.75,211.25,50.5
170,191.25,224.0,196.5,0.0,234.5,187.25,192.5,38.25,208.25,206.5,227.75,209.0,250.0,177.75,230.0,196.25,243.75,220.25,149.25,278.25,239.5,233.25,260.75,0.0,163.25,210.25,178.75,224.25,224.75,230.5,235.5,165.25,219.75,135.75,215.25,172.0,181.75,55.75,139.25,211.25,50.5
171,197.75,234.75,192.5,0.0,211.5,164.75,214.5,38.25,243.25,193.5,175.25,218.25,240.5,168.5,195.5,245.5,184.0,232.75,156.5,316.0,209.5,222.0,191.5,0.0,146.75,222.25,186.25,250.5,244.25,251.5,207.75,198.25,217.5,163.25,189.5,223.75,199.25,55.75,168.5,245.25,50.5
172,202.25,229.0,191.0,0.0,216.0,154.75,192.0,38.25,263.0,167.75,168.75,232.0,255.75,168.25,256.75,250.0,198.0,220.0,103.5,276.25,243.5,237.25,237.5,0.0,188.5,228.5,202.75,256.25,253.0,281.5,215.0,186.25,221.75,183.0,214.0,162.5,204.75,55.75,153.0,221.0,50.5
173,201.5,237.75,176.75,0.0,279.25,219.5,220.25,38.25,224.25,188.5,268.25,230.5,247.25,149.5,206.0,230.25,257.25,238.5,179.75,226.75,278.5,201.25,205.25,0.0,200.75,254.5,242.0,276.5,270.0,206.75,265.25,180.0,233.25,205.0,207.75,160.0,227.0,55.75,195.75,209.25,50.5
174,158.5,244.75,159.25,0.0,262.0,211.75,235.0,38.25,222.25,185.25,163.25,209.0,237.5,179.75,244.0,231.25,227.75,211.25,162.0,281.25,223.5,236.0,192.25,0.0,218.0,239.0,204.25,240.75,239.75,268.5,251.0,158.0,251.0,171.0,147.75,163.0,208.0,55.75,188.5,210.75,50.5
175,179.25,269.75,148.0,0.0,203.5,171.0,230.75,38.25,228.0,179.0,220.75,175.0,205.25,171.75,231.75,232.25,237.75,259.75,170.5,244.25,288.0,264.75,243.5,0.0,184.75,221.75,200.5,238.5,288.0,224.5,225.5,177.0,262.75,235.75,206.75,188.5,152.5,55.75,203.25,256.0,50.5
176,201.75,237.75,176.5,0.0,225.25,192.5,240.0,38.25,230.75,168.5,232.25,247.0,217.25,174.5,207.75,238.25,221.5,251.0,164.5,238.5,232.75,220.5,231.25,0.0,249.0,219.75,213.75,277.75,225.5,205.75,256.0,169.5,199.5,189.5,177.5,164.25,158.0,55.75,168.0,249.5,50.5
177,233.5,233.5,152.75,0.0,250.5,225.25,186.0,38.25,213.0,194.0,185.25,240.0,249.5,165.5,191.75,237.25,259.0,235.5,153.5,269.5,247.75,199.5,198.5,0.0,189.5,248.0,255.0,198.5,279.5,224.0,211.25,150.0,246.25,168.25,216.0,181.75,173.0,55.75,188.25,252.25,50.5
178,192.25,185.75,186.0,0.0,233.75,185.0,222.5,38.25,198.75,193.25,210.5,216.0,248.0,188.5,229.5,249.0,193.75,237.25,160.75,265.5,241.0,213.25,235.75,0.0,190.75,252.5,223.0,247.25,264.5,221.25,296.75,195.75,254.75,176.25,256.75,245.25,154.0,55.75,166.75,234.25,50.5
179,174.5,212.5,177.5,0.0,199.75,177.5,208.75,38.25,233.25,187.0,211.75,202.5,273.5,172.5,231.75,261.5,217.25,233.0,156.75,242.0,254.0,255.75,218.0,0.0,161.75,232.75,189.0,217.75,272.25,208.75,207.25,151.25,216.5,176.0,169.25,218.25,182.25,55.75,150.25,237.5,50.5
180,185.25,224.25,186.0,0.0,251.75,152.25,202.0,38.25,251.0,195.0,195.5,220.0,228.75,147.5,200.5,216.25,216.25,208.25,157.5,277.0,227.25,195.0,192.5,0.0,150.75,193.75,212.25,247.0,231.0,219.25,238.0,172.0,222.5,225.25,165.5,179.5,189.5,55.75,200.5,262.0,50.5
