,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
22,287.0,281.75,182.75,258.0,277.5,268.5,252.75,296.0,237.25,301.0,246.75,282.0,283.75,285.0,299.25,310.0,308.25,209.25,333.5,264.0,250.75,311.0,307.5,229.75,221.0,219.0,281.0,249.0,240.0,260.75
23,281.75,250.25,180.75,260.0,275.75,289.0,249.75,276.0,294.75,294.25,245.0,272.0,260.5,355.25,276.5,267.25,291.5,261.0,310.0,216.75,235.75,297.25,259.75,244.0,273.25,237.5,284.5,220.0,232.5,278.75
24,296.75,295.5,210.75,235.0,268.25,247.5,283.75,262.25,267.5,280.0,223.0,284.5,318.75,314.5,277.75,269.5,297.25,248.0,312.75,233.25,228.25,292.25,292.75,286.25,244.75,231.0,307.75,188.25,285.75,261.75
25,300.25,270.25,213.75,237.25,280.0,269.25,231.5,265.25,247.25,280.5,222.25,300.5,318.75,284.5,284.25,283.25,321.5,218.0,294.25,272.75,260.25,320.5,297.5,268.0,195.5,241.5,307.75,213.0,259.5,262.0
26,273.5,257.75,192.75,251.75,263.0,244.0,269.25,275.0,266.0,300.25,225.75,260.5,279.75,312.0,249.75,270.75,318.5,222.5,297.25,213.0,246.75,305.75,254.75,237.75,219.0,241.5,297.75,244.75,229.25,231.0
27,276.5,272.75,189.5,250.75,271.5,277.75,258.75,290.5,231.0,298.25,235.5,286.25,300.5,309.0,303.0,262.5,296.75,228.25,319.75,257.75,239.25,305.25,277.75,237.0,228.25,221.75,261.0,219.0,327.75,258.5
28,243.75,310.75,223.5,258.25,279.25,235.0,247.0,260.25,241.0,280.5,213.25,299.25,279.0,312.0,282.5,257.75,296.0,227.75,338.5,263.5,253.0,309.25,323.5,259.0,234.5,218.25,254.5,205.5,282.5,239.75
29,278.75,267.75,168.25,301.75,262.0,280.25,247.0,278.75,244.0,290.75,226.0,283.5,297.5,335.75,282.75,248.75,295.5,234.0,315.0,245.0,250.5,308.25,318.25,257.75,252.5,230.25,292.75,222.0,264.75,255.25
30,307.75,302.0,224.75,276.25,270.0,270.5,277.25,287.75,242.5,284.75,224.75,279.25,253.25,322.0,260.0,270.0,286.0,242.0,331.5,245.25,247.0,354.5,292.75,284.25,242.25,229.0,283.25,220.0,244.25,275.75
31,310.0,277.5,229.0,277.25,247.0,237.5,281.25,298.75,215.25,302.75,240.75,296.0,295.5,263.25,287.25,251.25,294.25,242.5,316.0,284.0,261.5,293.75,283.5,225.0,265.0,241.5,254.75,217.5,260.25,251.0
32,254.0,322.75,212.25,251.0,265.0,244.0,239.25,294.0,288.75,295.5,264.5,269.25,262.5,301.25,256.75,277.75,294.5,257.25,306.0,239.0,236.0,297.75,267.75,247.75,253.25,250.5,291.5,219.75,239.5,273.0
33,305.25,306.25,177.0,266.75,275.0,266.0,248.5,284.0,235.25,293.5,219.75,291.75,289.5,339.0,297.0,241.5,285.75,194.75,312.0,235.25,299.0,286.75,293.25,264.0,246.75,222.75,272.75,233.5,290.0,241.0
34,264.25,281.25,212.25,263.75,293.75,277.25,267.25,312.5,263.25,311.5,232.5,280.5,299.25,299.25,313.75,264.0,327.25,266.75,325.25,260.25,240.75,296.5,326.25,260.0,288.5,223.25,271.0,244.75,227.75,274.25
35,281.75,283.75,211.25,221.0,270.75,279.75,239.5,285.5,251.75,289.0,249.25,281.75,306.0,318.25,274.25,235.0,305.25,250.0,303.0,279.25,223.0,290.75,278.0,241.75,221.25,231.0,272.5,234.5,223.75,265.5
36,235.5,266.25,218.25,283.5,242.5,237.75,253.75,298.5,220.25,332.5,237.0,294.0,289.5,277.0,286.5,280.75,295.75,266.0,323.75,282.25,255.0,300.5,262.5,234.5,246.25,258.0,268.0,220.25,196.5,276.5
37,248.75,300.75,206.25,246.0,273.0,279.75,252.75,284.5,281.75,259.5,229.75,306.5,294.5,291.25,275.5,295.25,348.0,266.5,285.0,246.0,251.75,299.25,275.5,235.0,217.75,232.75,291.75,219.0,243.5,239.0
38,271.25,301.5,197.25,302.5,289.75,250.25,221.5,268.25,234.5,286.5,224.0,282.75,301.25,307.5,293.5,281.25,309.75,255.0,301.5,259.75,253.75,322.25,304.25,252.25,228.0,259.0,257.5,216.5,264.25,259.0
39,291.75,270.5,221.5,248.5,251.25,258.75,259.25,249.5,270.25,294.5,255.75,296.75,265.25,293.75,301.25,295.0,302.5,218.5,307.25,240.5,257.5,276.25,299.5,257.5,257.75,242.5,277.5,227.5,294.0,234.0
40,240.0,265.25,219.75,311.25,272.0,286.25,238.25,296.5,234.25,264.75,228.5,261.5,305.25,282.5,253.0,247.75,302.25,269.75,350.75,255.75,234.0,280.25,274.0,256.75,241.5,246.0,311.5,219.5,247.25,245.25
41,285.25,306.5,207.75,261.75,281.0,285.0,274.5,266.5,250.0,291.0,223.75,309.25,312.0,301.75,244.0,240.75,298.75,235.0,305.0,244.5,256.25,323.5,262.25,269.0,224.25,215.75,302.5,218.25,243.25,274.25
42,297.0,282.25,216.75,295.0,274.25,274.75,248.0,277.5,268.75,273.5,242.25,274.0,260.5,315.5,277.25,246.0,294.0,231.5,323.5,251.0,266.0,266.25,276.75,291.0,196.75,246.75,278.0,237.5,245.75,280.0
43,224.0,276.0,184.75,295.0,267.0,243.5,252.5,293.75,261.25,264.75,267.0,290.5,291.5,310.75,291.75,264.0,314.75,289.0,302.5,257.5,231.0,333.25,289.0,259.0,268.75,232.0,262.25,227.5,293.0,242.25
44,251.0,258.5,201.75,255.75,271.25,303.0,271.25,257.5,233.75,273.75,235.0,303.0,291.0,301.75,295.25,268.25,329.0,242.0,342.5,257.75,264.75,288.25,284.25,289.75,263.5,220.75,284.5,197.75,283.75,234.5
45,278.25,294.75,202.0,297.0,241.5,250.25,266.25,285.75,241.0,287.0,253.0,280.25,283.0,299.25,205.75,283.0,298.25,238.25,311.75,262.75,268.5,292.25,301.25,239.25,227.0,221.25,268.0,226.0,289.0,266.5
46,275.75,251.0,223.0,272.25,270.5,259.0,241.0,262.5,243.75,293.0,236.75,308.25,295.0,316.25,317.0,295.5,318.0,210.75,340.0,244.5,267.25,283.25,279.5,228.25,247.0,243.0,263.5,221.25,291.5,270.5
47,282.0,266.0,200.5,281.25,295.5,244.5,261.75,313.0,251.75,282.5,227.25,284.5,286.0,321.25,245.25,309.25,297.0,231.5,316.0,242.5,249.5,268.25,311.5,234.5,253.75,224.5,316.5,245.25,226.75,279.25
