,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
22,240.25,300.75,206.0,249.75,253.0,264.75,258.5,288.25,268.75,274.0,282.25,240.75,217.75,275.5,272.25,288.0,329.5,283.0,319.0,260.5,256.0,269.0,281.25,253.25,237.0,274.25,253.25,219.25,184.75,251.75
23,271.5,287.25,256.75,263.75,239.0,262.0,244.25,280.5,260.75,272.25,292.0,259.0,229.25,236.5,301.75,334.75,356.25,240.5,311.5,248.25,252.25,317.25,308.5,251.75,234.0,241.25,236.75,249.0,132.75,270.0
24,249.5,287.0,241.25,233.0,243.5,270.0,248.25,298.25,251.75,307.25,300.25,274.0,265.5,271.0,278.25,330.5,312.0,268.0,302.25,216.75,256.75,310.0,316.0,232.75,262.0,262.5,262.5,204.5,225.0,249.75
25,245.0,261.5,206.0,273.0,238.0,261.0,229.75,273.25,242.5,313.0,286.25,251.75,253.75,281.5,311.75,267.25,332.25,292.75,298.0,268.0,284.5,305.25,246.75,251.25,276.25,261.0,292.75,246.5,220.0,251.25
26,261.75,274.0,277.75,249.5,250.75,244.5,234.5,288.25,241.0,313.0,299.25,248.25,234.75,266.25,290.5,297.0,326.75,264.0,312.5,255.75,245.0,302.0,286.25,252.25,263.75,264.75,264.0,228.75,195.0,248.5
27,253.5,303.5,241.25,248.0,269.5,259.25,226.0,288.0,256.25,343.75,333.5,248.0,253.25,255.75,311.5,280.75,349.0,253.25,317.75,229.5,266.5,322.5,285.5,218.25,269.5,271.5,290.0,228.5,162.5,258.25
28,267.25,277.25,218.5,262.5,236.5,274.75,249.75,294.25,232.75,284.0,262.75,253.25,265.75,235.25,319.25,269.25,308.5,268.0,306.0,236.75,247.5,306.5,239.5,224.5,231.75,278.75,259.5,218.25,196.5,252.5
29,272.75,276.25,233.25,267.75,248.5,283.75,284.0,302.75,234.5,303.0,297.25,249.0,263.5,278.75,271.75,276.0,338.5,242.5,278.5,268.0,246.25,257.75,258.75,242.25,214.25,242.5,251.25,247.25,169.25,246.25
30,237.75,295.75,265.25,284.75,289.75,241.25,253.75,259.75,240.75,280.0,281.0,268.25,244.5,291.75,271.5,301.25,347.5,256.25,311.25,255.75,264.5,257.75,281.5,192.75,295.25,247.75,277.5,225.0,193.5,226.25
31,243.25,278.75,248.5,271.5,202.25,265.0,233.5,304.25,260.75,281.5,276.5,256.75,243.0,275.25,267.0,264.25,300.5,278.75,309.75,236.0,256.5,319.75,260.5,173.75,268.75,250.0,261.0,236.25,202.0,261.25
