,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv
174,0.0,0.0,0.0,250.0
175,290.75,254.0,0.0,254.0
176,0.0,0.0,241.0,278.0
177,312.5,0.0,0.0,273.25
178,0.0,0.0,0.0,278.25
179,274.0,266.75,0.0,0.0
180,0.0,254.0,0.0,0.0
181,0.0,249.25,268.25,0.0
182,297.25,0.0,0.0,0.0
183,0.0,0.0,0.0,276.75
184,281.25,0.0,0.0,295.0
185,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,310.75
187,0.0,233.25,0.0,0.0
188,300.5,0.0,0.0,257.25
189,274.75,0.0,0.0,0.0
190,273.0,225.0,0.0,0.0
191,0.0,0.0,0.0,285.0
192,293.25,279.25,315.5,330.5
193,0.0,0.0,0.0,289.5
194,284.25,251.0,0.0,300.5
195,243.5,270.25,0.0,302.25
196,280.0,248.75,0.0,292.25
197,262.75,241.5,0.0,335.5
198,0.0,0.0,0.0,287.75
199,0.0,0.0,0.0,296.25
200,0.0,0.0,0.0,279.75
201,0.0,0.0,0.0,282.0
202,283.0,248.25,0.0,294.25
203,0.0,0.0,0.0,0.0
204,279.0,0.0,0.0,293.5
205,272.75,275.0,0.0,0.0
206,0.0,0.0,0.0,320.5
207,0.0,250.5,0.0,0.0
208,0.0,0.0,0.0,316.75
209,0.0,243.75,263.0,301.5
210,0.0,0.0,0.0,0.0
211,292.25,237.25,0.0,282.75
212,282.0,0.0,297.25,295.5
213,0.0,253.0,0.0,303.0
214,0.0,0.0,0.0,287.5
215,276.75,261.5,0.0,0.0
216,0.0,0.0,0.0,0.0
217,0.0,241.5,0.0,275.75
218,0.0,0.0,0.0,306.25
219,288.25,239.0,300.0,298.25
220,0.0,0.0,0.0,234.5
221,0.0,264.75,0.0,340.25
222,0.0,0.0,0.0,311.0
223,257.25,0.0,0.0,286.25
224,304.5,0.0,0.0,0.0
225,0.0,0.0,0.0,312.25
226,0.0,0.0,0.0,282.75
227,0.0,0.0,0.0,0.0
228,256.75,0.0,0.0,287.25
229,264.75,0.0,0.0,0.0
230,252.5,0.0,287.5,325.75
231,293.75,249.5,0.0,279.0
232,0.0,0.0,0.0,334.75
233,294.0,0.0,0.0,0.0
234,264.25,0.0,0.0,0.0
235,0.0,0.0,0.0,304.5
236,0.0,0.0,327.25,0.0
237,0.0,0.0,0.0,286.75
238,0.0,0.0,0.0,350.5
239,0.0,301.75,0.0,0.0
240,254.5,0.0,0.0,0.0
241,0.0,245.0,0.0,323.75
242,259.75,273.75,0.0,307.0
243,0.0,0.0,0.0,288.25
244,0.0,252.5,0.0,274.75
245,274.25,0.0,337.75,308.5
246,293.5,274.25,0.0,0.0
247,0.0,240.75,0.0,0.0
248,0.0,0.0,0.0,264.5
249,268.25,267.0,0.0,296.25
