,21-11-2018:teams_700.csv,21-11-2018:teams_800.csv,21-11-2018:teams_900.csv,23-11-2018:teams_700.csv,23-11-2018:teams_800.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_730.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_600.csv,25-11-2018:teams_800.csv,26-11-2018:teams_700.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv
44,283.5,272.75,269.75,244.0,231.5,251.25,234.0,338.0,244.0,296.5,296.25,312.5,244.5,310.0,276.25,216.75
45,281.5,255.5,279.5,246.75,251.5,246.5,221.25,276.0,312.0,253.5,320.75,280.75,194.0,271.25,289.5,192.75
46,264.5,237.5,255.0,216.0,233.5,261.25,207.5,290.5,269.75,246.5,272.0,334.25,213.75,309.25,281.0,210.25
47,247.75,202.75,275.75,243.5,260.5,236.5,229.0,280.0,261.25,268.75,278.25,250.25,245.75,318.0,277.75,190.75
48,270.5,236.75,267.75,218.0,228.0,232.75,216.5,286.0,281.25,255.25,297.5,292.75,234.75,290.25,287.5,198.25
49,254.25,280.75,286.25,246.25,248.5,254.0,215.75,345.25,258.0,297.0,302.75,311.75,204.25,287.0,297.25,205.5
50,299.0,247.25,290.5,238.5,223.25,248.25,232.25,268.75,285.5,269.5,291.5,305.25,198.25,341.25,309.25,171.0
51,275.0,235.0,293.5,251.75,246.75,242.25,224.25,274.0,282.0,275.5,275.5,272.75,243.75,318.0,259.5,233.0
52,281.75,256.25,281.25,251.5,226.0,244.25,230.5,316.0,299.75,265.5,283.75,239.0,242.5,333.75,262.25,230.25
53,259.0,233.25,280.5,209.75,288.25,229.75,202.25,289.25,317.25,302.5,272.25,306.5,226.75,323.0,292.75,213.5
54,272.25,241.0,296.5,223.0,272.25,240.25,213.5,258.5,228.25,277.25,294.0,308.75,238.0,289.0,262.25,181.5
55,246.5,223.75,296.5,256.25,252.0,256.5,215.75,295.0,223.0,304.25,282.0,257.0,242.25,276.0,272.0,199.0
56,309.5,228.75,272.25,254.75,224.0,242.25,226.0,326.75,332.25,268.5,290.0,318.25,220.75,286.75,282.0,179.5
57,290.0,257.5,295.75,232.75,247.75,253.75,224.0,255.75,254.5,256.25,268.25,275.0,246.5,331.25,298.0,221.25
58,269.25,235.75,291.25,238.0,252.75,260.5,235.25,284.5,316.75,299.75,231.75,278.25,240.25,282.75,255.5,223.75
59,294.0,237.5,275.25,252.25,250.25,223.75,219.75,288.5,254.0,263.75,291.75,236.25,234.0,295.5,274.25,219.0
60,264.0,248.25,268.5,257.5,234.75,253.25,240.5,260.5,298.5,279.75,284.5,317.0,221.5,285.0,257.75,202.25
61,284.0,257.25,275.0,270.25,251.25,236.0,220.75,274.75,240.0,273.75,286.75,301.5,275.25,317.0,271.0,197.5
62,262.0,258.5,266.75,277.75,241.25,241.5,219.75,309.25,255.5,241.0,299.5,263.0,229.5,295.25,294.0,216.5
63,265.0,268.75,290.25,239.25,249.75,245.25,211.25,271.5,225.25,294.25,275.75,296.25,233.75,269.0,278.75,221.75
64,302.0,229.25,276.75,244.75,257.75,246.75,198.25,260.25,256.5,266.75,306.0,254.25,212.25,300.75,273.5,212.5
65,249.75,246.25,288.5,244.0,228.75,240.5,222.0,273.75,242.25,273.5,294.25,271.0,236.0,309.75,277.5,205.0
66,291.0,233.25,286.0,203.0,243.0,243.75,209.5,256.75,294.5,299.75,262.5,336.25,207.25,289.5,290.75,205.25
67,291.75,223.0,271.25,291.0,222.0,225.0,218.25,259.5,296.0,253.25,288.5,310.0,251.5,301.25,273.75,215.25
68,297.25,268.25,292.0,231.0,250.0,265.5,195.0,265.75,301.5,301.5,281.75,253.25,256.25,306.25,241.0,222.5
69,298.25,240.5,310.5,211.0,267.75,238.5,241.5,268.25,296.0,271.25,283.0,251.0,228.25,287.75,288.5,210.5
70,279.5,247.5,282.25,263.0,266.5,263.5,246.75,268.25,302.25,265.75,251.25,282.75,277.5,300.75,274.25,183.25
71,262.5,222.25,269.75,250.75,214.25,264.5,234.25,333.5,311.0,287.25,281.25,306.5,212.75,256.5,248.25,209.0
