,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
22,271.5,303.25,0.0,0.0,0.0,274.75,0.0,257.0,0.0,0.0,262.25,263.0,0.0,291.75,0.0,295.5,0.0,266.75,0.0,263.75,0.0,0.0,261.25,0.0,222.75,0.0,261.25,0.0,0.0,0.0
23,0.0,291.25,0.0,0.0,0.0,272.25,0.0,0.0,0.0,0.0,237.0,285.5,0.0,327.75,0.0,285.5,0.0,0.0,314.0,236.5,254.75,0.0,0.0,256.25,0.0,247.5,0.0,0.0,283.5,219.25
24,257.0,303.5,0.0,0.0,247.0,280.25,255.75,299.5,0.0,292.75,239.75,266.75,269.75,321.25,252.75,0.0,283.5,289.0,0.0,248.5,243.0,0.0,0.0,0.0,0.0,218.75,0.0,0.0,0.0,0.0
25,0.0,285.75,0.0,0.0,240.5,281.5,242.25,274.25,0.0,272.25,0.0,303.75,270.25,329.25,0.0,271.5,0.0,0.0,0.0,258.75,239.75,0.0,262.5,0.0,202.75,0.0,0.0,0.0,0.0,0.0
26,0.0,302.5,0.0,0.0,0.0,261.75,256.5,279.25,292.0,311.5,242.25,0.0,280.5,319.75,0.0,281.25,328.75,0.0,293.25,257.75,0.0,0.0,261.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,308.25,0.0,0.0,0.0,275.5,0.0,290.25,209.0,303.25,0.0,269.25,270.25,350.0,252.5,0.0,0.0,242.5,0.0,237.25,0.0,0.0,317.75,247.75,0.0,227.5,0.0,193.25,0.0,233.0
28,0.0,298.5,0.0,0.0,255.0,0.0,244.0,278.75,221.25,289.5,276.5,286.75,280.5,311.5,236.25,0.0,264.25,242.5,0.0,257.0,250.25,0.0,0.0,0.0,234.25,0.0,0.0,0.0,281.5,211.25
29,0.0,266.0,0.0,0.0,0.0,270.5,0.0,274.25,0.0,282.5,214.5,273.0,276.25,351.25,0.0,279.75,252.0,234.0,0.0,233.25,0.0,271.25,257.5,0.0,0.0,223.25,0.0,0.0,0.0,0.0
30,0.0,310.25,0.0,0.0,0.0,287.5,242.25,264.25,0.0,0.0,279.0,306.0,281.0,348.5,271.5,0.0,0.0,259.0,0.0,263.5,0.0,0.0,298.75,0.0,0.0,218.25,297.0,0.0,0.0,0.0
31,285.25,235.25,0.0,0.0,282.0,247.25,252.5,271.75,0.0,298.75,233.25,289.5,291.25,0.0,274.25,266.25,315.25,235.75,291.5,248.25,0.0,0.0,296.5,0.0,0.0,0.0,0.0,0.0,0.0,247.25
32,0.0,298.25,0.0,0.0,237.25,274.75,0.0,286.0,241.0,0.0,237.25,281.25,280.0,337.75,0.0,310.0,307.0,238.25,0.0,268.0,253.0,287.5,272.25,0.0,0.0,239.5,284.25,0.0,0.0,206.75
