PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Buddy Hield (11848752),Buddy Hield,11848752,SG/SF/F/G/UTIL,6700,NO@SAC 12/23/2018 06:00PM ET,SAC,32.62
,,,,,,,,,C,DeAndre Jordan (11848769),DeAndre Jordan,11848769,C/UTIL,6600,DAL@POR 12/23/2018 09:00PM ET,DAL,35.66
,,,,,,,,,SF/PF,T.J. Warren (11848765),T.J. Warren,11848765,SF/PF/F/UTIL,6600,PHO@BKN 12/23/2018 06:00PM ET,PHO,30.31
,,,,,,,,,PF/C,Nikola Mirotic (11848761),Nikola Mirotic,11848761,PF/C/F/UTIL,6600,NO@SAC 12/23/2018 06:00PM ET,NO,34.57
,,,,,,,,,C,Tristan Thompson (11848778),Tristan Thompson,11848778,C/UTIL,6500,CHI@CLE 12/23/2018 06:00PM ET,CLE,32.20
,,,,,,,,,SG,Klay Thompson (11848771),Klay Thompson,11848771,SG/G/UTIL,6500,LAC@GS 12/23/2018 08:30PM ET,GS,34.26
,,,,,,,,,SF/PF,Jayson Tatum (11848774),Jayson Tatum,11848774,SF/PF/F/UTIL,6500,CHA@BOS 12/23/2018 06:00PM ET,BOS,31.10
,,,,,,,,,PF/C,Draymond Green (11848780),Draymond Green,11848780,PF/C/F/UTIL,6400,LAC@GS 12/23/2018 08:30PM ET,GS,31.13
,,,,,,,,,PG/SG,Lou Williams (11848784),Lou Williams,11848784,PG/SG/G/UTIL,6400,LAC@GS 12/23/2018 08:30PM ET,LAC,27.95
,,,,,,,,,PG,Lonzo Ball (11848792),Lonzo Ball,11848792,PG/G/UTIL,6300,MEM@LAL 12/23/2018 09:30PM ET,LAL,26.48
,,,,,,,,,SF/PF,Robert Covington (11848788),Robert Covington,11848788,SF/PF/F/UTIL,6300,MIN@OKC 12/23/2018 08:00PM ET,MIN,29.03
,,,,,,,,,PG/SG,CJ McCollum (11848799),CJ McCollum,11848799,PG/SG/G/UTIL,6200,DAL@POR 12/23/2018 09:00PM ET,POR,32.36
,,,,,,,,,PF/C,Al Horford (11848795),Al Horford,11848795,PF/C/F/UTIL,6200,CHA@BOS 12/23/2018 06:00PM ET,BOS,30.43
,,,,,,,,,PF/C,Montrezl Harrell (11848805),Montrezl Harrell,11848805,PF/C/F/UTIL,6100,LAC@GS 12/23/2018 08:30PM ET,LAC,30.63
,,,,,,,,,C,Willie Cauley-Stein (11848803),Willie Cauley-Stein,11848803,C/UTIL,6100,NO@SAC 12/23/2018 06:00PM ET,SAC,31.15
,,,,,,,,,SF/PF,Harrison Barnes (11848809),Harrison Barnes,11848809,SF/PF/F/UTIL,6000,DAL@POR 12/23/2018 09:00PM ET,DAL,27.94
,,,,,,,,,PG/SG,Caris LeVert (11848818),Caris LeVert,11848818,PG/SG/G/UTIL,6000,PHO@BKN 12/23/2018 06:00PM ET,BKN,32.04
,,,,,,,,,PF/C,DeMarcus Cousins (11848822),DeMarcus Cousins,11848822,PF/C/F/UTIL,6000,LAC@GS 12/23/2018 08:30PM ET,GS,0
,,,,,,,,,SG/SF,Andrew Wiggins (11848813),Andrew Wiggins,11848813,SG/SF/F/G/UTIL,6000,MIN@OKC 12/23/2018 08:00PM ET,MIN,28.14
,,,,,,,,,PG,Jeff Teague (11848826),Jeff Teague,11848826,PG/G/UTIL,6000,MIN@OKC 12/23/2018 08:00PM ET,MIN,29.47
,,,,,,,,,PG/SG,Jordan Clarkson (11848829),Jordan Clarkson,11848829,PG/SG/G/UTIL,5900,CHI@CLE 12/23/2018 06:00PM ET,CLE,26.22
,,,,,,,,,PF/C,Jaren Jackson Jr. (11848833),Jaren Jackson Jr.,11848833,PF/C/F/UTIL,5800,MEM@LAL 12/23/2018 09:30PM ET,MEM,25.82
,,,,,,,,,SG/SF,Evan Fournier (11848837),Evan Fournier,11848837,SG/SF/F/G/UTIL,5700,MIA@ORL 12/23/2018 06:00PM ET,ORL,27.11
,,,,,,,,,SF/PF,Marcus Morris (11848842),Marcus Morris,11848842,SF/PF/F/UTIL,5700,CHA@BOS 12/23/2018 06:00PM ET,BOS,27.05
,,,,,,,,,SG/SF,Jeremy Lamb (11848846),Jeremy Lamb,11848846,SG/SF/F/G/UTIL,5700,CHA@BOS 12/23/2018 06:00PM ET,CHA,28.23
,,,,,,,,,PG/SG,Brandon Ingram (11848855),Brandon Ingram,11848855,PG/SG/G/UTIL,5600,MEM@LAL 12/23/2018 09:30PM ET,LAL,25.63
,,,,,,,,,PG,Dennis Smith Jr. (11848859),Dennis Smith Jr.,11848859,PG/G/UTIL,5600,DAL@POR 12/23/2018 09:00PM ET,DAL,25.48
,,,,,,,,,SF/PF,Marvin Williams (11848851),Marvin Williams,11848851,SF/PF/F/UTIL,5600,CHA@BOS 12/23/2018 06:00PM ET,CHA,22.16
,,,,,,,,,PG,Goran Dragic (11848866),Goran Dragic,11848866,PG/G/UTIL,5500,MIA@ORL 12/23/2018 06:00PM ET,MIA,28.05
,,,,,,,,,PG/SG,Dennis Schroder (11848862),Dennis Schroder,11848862,PG/SG/G/UTIL,5500,MIN@OKC 12/23/2018 08:00PM ET,OKC,29.9
,,,,,,,,,SG/SF,Justin Holiday (11848871),Justin Holiday,11848871,SG/SF/F/G/UTIL,5400,CHI@CLE 12/23/2018 06:00PM ET,CHI,26.91
,,,,,,,,,C,Jarrett Allen (11848869),Jarrett Allen,11848869,C/UTIL,5400,PHO@BKN 12/23/2018 06:00PM ET,BKN,28.44
,,,,,,,,,PG,Elfrid Payton (11848876),Elfrid Payton,11848876,PG/G/UTIL,5400,NO@SAC 12/23/2018 06:00PM ET,NO,26.12
,,,,,,,,,PG/SG,Tyler Johnson (11848879),Tyler Johnson,11848879,PG/SG/G/UTIL,5300,MIA@ORL 12/23/2018 06:00PM ET,MIA,20.79
,,,,,,,,,SG/SF,Gordon Hayward (11848887),Gordon Hayward,11848887,SG/SF/F/G/UTIL,5300,CHA@BOS 12/23/2018 06:00PM ET,BOS,25.20
,,,,,,,,,PF/C,Marvin Bagley III (11848883),Marvin Bagley III,11848883,PF/C/F/UTIL,5300,NO@SAC 12/23/2018 06:00PM ET,SAC,24.22
,,,,,,,,,PG/SG,Dwyane Wade (11848896),Dwyane Wade,11848896,PG/SG/G/UTIL,5200,MIA@ORL 12/23/2018 06:00PM ET,MIA,26.41
,,,,,,,,,PF/C,Rondae Hollis-Jefferson (11848892),Rondae Hollis-Jefferson,11848892,PF/C/F/UTIL,5200,PHO@BKN 12/23/2018 06:00PM ET,BKN,22.63
,,,,,,,,,PF/C,Bobby Portis (11848904),Bobby Portis,11848904,PF/C/F/UTIL,5100,CHI@CLE 12/23/2018 06:00PM ET,CHI,26.11
