Team
PHO
CHI
LAL
CLE
POR
MIL
IND
CHA
DEN
MIN
OKC
GS
NY
BOS
SAC
UTA
BKN
DAL
DET
HOU
TOR
ATL
NO
PHI
MEM
SA
