,cash,gpp,gpp_1.1x,gpp_1.2x,gpp_1.3x,tot,supertot
Points_6_tbigs,35.333333333333336,24.666666666666668,2.0,0.0,0.0,150.0,150.0
Points_6_tbigs_pg,38.57142857142858,31.428571428571427,2.857142857142857,0.0,0.0,70.0,150.0
