,cash,gpp,gpp_1.1x,gpp_1.2x,gpp_1.3x,tot,supertot
testlive,31.521739130434785,17.391304347826086,0.0,0.0,0.0,92.0,300.0
testlive_nopg,35.09615384615385,19.71153846153846,0.0,0.0,0.0,208.0,300.0
