,cash,gpp,gpp_1.1x,gpp_1.2x,gpp_1.3x,tot,supertot
meds_p7,56.33187772925764,44.26877470355731,9.090909090909092,1.5810276679841897,0.0,253.0,1400.0
meds_c7,53.38645418326693,46.82539682539682,18.253968253968253,2.7777777777777777,0.0,252.0,1400.0
meds_w7,39.8576512455516,30.344827586206897,10.0,2.0689655172413794,0.0,290.0,1400.0
meds_p6,52.066115702479344,39.27272727272727,7.636363636363637,1.4545454545454546,0.0,275.0,1400.0
meds_c6,49.7907949790795,43.77510040160642,16.06425702811245,2.0080321285140563,0.0,249.0,1400.0
meds_w6,42.435424354243544,35.294117647058826,14.186851211072666,1.7301038062283738,0.0,289.0,1400.0
meds_p5,50.84033613445378,37.3134328358209,7.835820895522389,1.1194029850746268,0.0,268.0,1400.0
meds_c5,47.46376811594203,34.93150684931507,10.616438356164384,1.7123287671232876,0.0,292.0,1400.0
meds_w5,42.90780141843972,32.9073482428115,10.543130990415335,0.6389776357827476,0.0,313.0,1400.0
meds_p4,51.83673469387755,37.94326241134752,8.156028368794328,0.7092198581560284,0.0,282.0,1400.0
meds_c4,42.74809160305343,30.034129692832767,7.849829351535837,0.3412969283276451,0.0,293.0,1400.0
meds_w4,37.59398496240601,28.343949044585987,9.872611464968154,0.3184713375796179,0.0,314.0,1400.0
