,cash,gpp,gpp_1.1x,gpp_1.2x,gpp_1.3x,tot,supertot
waforgood,40.69230769230769,31.528735632183906,9.022988505747126,1.2758620689655173,0.04597701149425287,8700.0,9000.0
wa_fn3,39.30232558139535,29.95689655172414,7.817398119122257,0.9012539184952978,0.01959247648902821,5104.0,9000.0
wa_fn5,41.72982612572448,33.729166666666664,8.25,0.7916666666666667,0.020833333333333336,4800.0,9000.0
